Number,Team,Score,Points,W,L,Pct,SoS,Weighted,Conf,Div,AvgMoV,YF,YA,TO Margin,YPPO,YPPD
75,Navy,22.0669,0.5825,0,1,0.0000,1.0000,0.6667,AAC,West,-42,398,464,-1,4.3736,7.3651
76,Georgia Tech,21.7894,0.5752,0,1,0.0000,1.0000,0.6667,ACC,Coastal,-1,429,301,0,5.5000,5.1017
77,East Carolina,21.7736,0.5748,0,1,0.0000,1.0000,0.6667,AAC,East,-14,381,485,1,5.9531,7.6984
78,Washington State,21.7558,0.5743,0,1,0.0000,1.0000,0.6667,Pac-12,North,-3,360,441,-1,5.9016,5.3780
79,Oregon State,21.7466,0.5740,0,1,0.0000,1.0000,0.6667,Pac-12,North,-9,363,401,0,5.7619,5.3467
80,Rice,21.4650,0.5666,0,1,0.0000,1.0000,0.6667,CUSA,West,-21,308,373,2,4.1622,5.7385
81,California,20.9052,0.5518,0,1,0.0000,1.0000,0.6667,Pac-12,North,-5,330,373,0,5.0769,5.7385
82,Southern Miss,20.5619,0.5428,0,1,0.0000,1.0000,0.6667,CUSA,West,-24,259,300,3,3.5479,5.3571
83,Coastal Carolina,20.4570,0.5400,1,0,1.0000,NaN,NaN,Sun Belt,East,38,610,237,0,11.2963,3.8852
84,Texas State,20.1156,0.5310,0,1,0.0000,1.0000,0.6667,Sun Belt,West,-9,235,389,2,3.5075,5.6377
85,Duke,20.0661,0.5297,0,1,0.0000,1.0000,0.6667,ACC,Coastal,-3,580,478,2,7.9452,6.8286
86,Ball State,19.7237,0.5206,1,0,1.0000,NaN,NaN,MAC,West,10,407,437,0,6.1667,6.5224
87,South Florida,19.6003,0.5174,0,1,0.0000,1.0000,0.6667,AAC,East,-45,271,525,2,4.1692,7.9545
88,Iowa State,19.4421,0.5132,1,0,1.0000,NaN,NaN,Big 12, ,6,335,275,-2,5.5833,4.5833
89,Akron,19.1557,0.5056,0,1,0.0000,1.0000,0.6667,MAC,East,-50,212,613,0,3.4194,10.3898
90,Massachusetts,18.9943,0.5014,0,1,0.0000,1.0000,0.6667,Indep, ,-44,209,597,-1,3.6034,6.9419
91,Liberty,18.8058,0.4964,1,0,1.0000,NaN,NaN,Indep, ,41,537,269,0,7.6714,4.4098
92,Oklahoma State,18.7363,0.4946,1,0,1.0000,NaN,NaN,Big 12, ,7,369,336,1,5.4265,4.0482
93,Arizona,18.7308,0.4944,0,1,0.0000,1.0000,0.6667,Pac-12,South,-8,426,368,1,5.1325,5.8413
94,Buffalo,18.6334,0.4919,1,0,1.0000,NaN,NaN,MAC,East,62,569,97,1,11.8542,1.9400
95,Temple,18.4094,0.4859,0,1,0.0000,1.0000,0.6667,AAC,East,-47,261,365,5,4.1429,4.5625
96,Louisiana-Monroe,17.9028,0.4726,0,1,0.0000,1.0000,0.6667,Sun Belt,West,-35,88,564,-3,1.4194,8.5455
97,Alabama-Birmingham,17.5876,0.4643,1,0,1.0000,NaN,NaN,CUSA,West,31,518,155,2,8.6333,3.0392
98,Colorado,17.4670,0.4611,1,0,1.0000,NaN,NaN,Pac-12,South,28,383,256,-1,5.9844,4.2667
99,Bowling Green,17.3415,0.4578,0,1,0.0000,1.0000,0.6667,MAC,East,-32,219,471,-2,3.5902,5.3523
100,Memphis,17.3175,0.4571,1,0,1.0000,NaN,NaN,AAC,West,25,589,301,-1,7.0119,4.9344
101,Washington,17.2624,0.4557,0,1,0.0000,NaN,NaN,Pac-12,North,-6,291,232,3,3.9863,4.0702
102,Tulsa,17.1358,0.4523,0,1,0.0000,NaN,NaN,AAC,West,-2,448,399,-1,7.2258,4.8659
103,Texas Christian,16.9637,0.4478,1,0,1.0000,NaN,NaN,Big 12, ,42,431,137,-1,6.9516,3.3415
104,SMU,16.9273,0.4468,1,0,1.0000,NaN,NaN,AAC,West,47,501,332,-4,6.9583,5.1875
105,Utah,16.7972,0.4434,1,0,1.0000,NaN,NaN,Pac-12,South,23,450,270,0,7.5000,4.2857
106,Georgia Southern,16.5002,0.4356,1,0,1.0000,NaN,NaN,Sun Belt,East,5,500,421,0,5.8824,6.4769
107,Toledo,15.7290,0.4152,1,0,1.0000,NaN,NaN,MAC,West,39,441,272,-2,7.8750,4.5333
108,Virginia,15.5899,0.4115,1,0,1.0000,NaN,NaN,ACC,Coastal,43,545,183,0,8.5156,3.4528
109,Air Force,15.5197,0.4097,1,0,1.0000,NaN,NaN,MWC,Mountain,21,420,287,-1,5.8333,5.5192
110,Boston College,15.2667,0.4030,1,0,1.0000,NaN,NaN,ACC,Atlantic,51,527,189,-2,8.3651,3.5000
111,Mississippi,15.1036,0.3987,0,0,NaN,NaN,0.0000,SEC,West,0,0,0,0,NaN,NaN
112,Troy,14.4795,0.3822,1,0,1.0000,NaN,NaN,Sun Belt,East,52,464,189,-3,6.5352,3.8571
113,Arizona State,14.2456,0.3760,1,0,1.0000,NaN,NaN,Pac-12,South,27,421,224,-2,7.2586,3.9298
114,Western Kentucky,13.8818,0.3664,1,0,1.0000,NaN,NaN,CUSA,East,38,587,396,-1,9.6230,5.1429
115,Arkansas State,13.2693,0.3503,1,0,1.0000,NaN,NaN,Sun Belt,West,19,515,338,-1,6.7763,5.4516
116,Louisville,13.1333,0.3467,0,0,NaN,NaN,0.0000,ACC,Atlantic,0,0,0,0,NaN,NaN
117,Eastern Michigan,13.0492,0.3445,1,0,1.0000,NaN,NaN,MAC,West,20,410,292,0,5.1250,4.5625
118,New Mexico,12.6459,0.3338,1,0,1.0000,NaN,NaN,MWC,Mountain,10,308,187,-2,4.5970,2.6714
119,Wyoming,12.5929,0.3324,1,0,1.0000,NaN,NaN,MWC,Mountain,3,347,323,0,5.0290,5.5690
120,MTSU,12.2602,0.3236,1,0,1.0000,NaN,NaN,CUSA,East,35,344,274,-4,5.9310,3.4250
121,North Texas,11.9401,0.3152,1,0,1.0000,NaN,NaN,CUSA,West,30,527,418,-2,6.9342,5.5733
122,Colorado State,11.8950,0.3140,0,1,0.0000,NaN,NaN,MWC,Mountain,-19,462,466,2,5.1910,7.5161
123,South Carolina,11.4116,0.3012,1,0,1.0000,NaN,NaN,SEC,East,46,443,109,-2,5.9067,2.4773
124,Kansas,10.0391,0.2650,1,0,1.0000,NaN,NaN,Big 12, ,3,247,265,0,3.7424,4.2742
125,UNLV,9.4604,0.2497,0,1,0.0000,NaN,NaN,MWC,West,-2,339,471,-1,5.0597,6.4521
126,New Mexico State,8.9663,0.2367,0,2,0.0000,1.0000,0.6667,Indep, ,-22.5,282,407.5,-0.5,3.7852,6.5726
127,Florida Int'l,8.7739,0.2316,1,0,1.0000,NaN,NaN,CUSA,East,38,594,291,-1,12.1224,4.3433
128,Old Dominion,8.6518,0.2284,0,1,0.0000,1.0000,0.6667,CUSA,East,-32,272,359,1,3.5325,5.2029
129,Vanderbilt,8.3563,0.2206,0,1,0.0000,NaN,NaN,SEC,East,-20,321,314,3,4.2800,5.3220
130,Connecticut,5.6642,0.1495,0,2,0.0000,0.5000,0.4444,Indep, ,-27.5,185,453.5,1.5,2.6429,6.3873
